Date,Price
11/16/2014,25960
11/17/2014,25716
11/18/2014,25690
11/19/2014,25909
11/20/2014,25922
11/21/2014,25797
11/22/2014,25635
11/23/2014,25653
11/24/2014,25970
11/25/2014,26195
11/26/2014,26208
11/27/2014,26350
11/28/2014,26491
11/29/2014,26805
11/30/2014,26564
12/1/2014,26239
12/2/2014,26061
12/3/2014,26510
12/4/2014,26548
12/5/2014,26941
12/6/2014,26829
12/7/2014,26682
12/8/2014,26452
12/9/2014,26703
12/10/2014,26616
12/11/2014,26454
12/12/2014,26644
12/13/2014,26533
12/14/2014,26702
12/15/2014,26719
12/16/2014,26803
12/17/2014,26489
12/18/2014,26777
12/19/2014,26574
12/20/2014,26944
12/21/2014,27036
12/22/2014,27096
12/23/2014,26593
12/24/2014,26483
12/25/2014,26747
12/26/2014,26852
12/27/2014,26928
12/28/2014,26951
12/29/2014,26903
12/30/2014,26853
12/31/2014,27180
1/1/2015,27539
1/2/2015,27444
1/3/2015,27473
1/4/2015,27629
1/5/2015,27309
1/6/2015,27299
1/7/2015,27130
1/8/2015,27105
1/9/2015,27180
1/10/2015,26917
1/11/2015,26900
1/12/2015,26899
1/13/2015,26866
1/14/2015,26690
1/15/2015,26856
1/16/2015,26806
1/17/2015,26564
1/18/2015,26439
1/19/2015,26693
1/20/2015,26754
1/21/2015,26850
1/22/2015,26772
1/23/2015,26773
1/24/2015,26915
1/25/2015,26831
1/26/2015,26763
1/27/2015,27031
1/28/2015,26959
1/29/2015,26589
1/30/2015,26478
1/31/2015,26418
2/1/2015,26365
2/2/2015,26399
2/3/2015,26508
2/4/2015,26301
2/5/2015,26182
2/6/2015,26024
2/7/2015,26393
2/8/2015,26335
2/9/2015,26032
2/10/2015,26222
2/11/2015,26071
2/12/2015,26071
2/13/2015,26033
2/14/2015,25934
2/15/2015,25852
2/16/2015,25774
2/17/2015,25505
2/18/2015,25042
2/19/2015,24908
2/20/2015,24688
2/21/2015,24742
2/22/2015,24729
2/23/2015,24910
2/24/2015,24768
2/25/2015,24729
2/26/2015,24739
2/27/2015,24789
2/28/2015,24696
3/1/2015,24638
3/2/2015,24545
3/3/2015,24692
3/4/2015,24796
3/5/2015,25026
3/6/2015,25323
3/7/2015,25898
3/8/2015,25763
3/9/2015,25636
3/10/2015,25924
3/11/2015,25890
3/12/2015,26084
3/13/2015,26723
3/14/2015,27090
3/15/2015,27290
3/16/2015,26595
3/17/2015,26341
3/18/2015,26197
3/19/2015,26490
3/20/2015,26540
3/21/2015,26623
3/22/2015,26417
3/23/2015,26196
3/24/2015,26256
3/25/2015,26506
3/26/2015,26436
3/27/2015,26069
3/28/2015,26179
3/29/2015,25981
3/30/2015,26078
3/31/2015,25982
4/1/2015,26285
4/2/2015,26176
4/3/2015,26476
4/4/2015,26345
4/5/2015,26242
4/6/2015,26476
4/7/2015,26965
4/8/2015,26744
4/9/2015,26508
4/10/2015,26253
4/11/2015,25803
4/12/2015,25782
4/13/2015,26094
4/14/2015,26512
4/15/2015,26449
4/16/2015,26351
4/17/2015,26515
4/18/2015,26678
4/19/2015,26872
4/20/2015,27088
4/21/2015,27142
4/22/2015,27029
4/23/2015,26882
4/24/2015,26993
4/25/2015,26821
4/26/2015,26737
4/27/2015,26676
4/28/2015,26689
4/29/2015,26790
